threshold,precision,recall,f1,tp,fp,tn,fn,tpr,fpr
0.171,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
0.17200000000000001,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
0.17300000000000001,0.8383838383838383,0.9764705882352941,0.9021739130434783,83,16,49,2,0.9764705882352941,0.24615384615384617
0.17400000000000002,0.8469387755102041,0.9764705882352941,0.907103825136612,83,15,50,2,0.9764705882352941,0.23076923076923078
0.17500000000000002,0.8469387755102041,0.9764705882352941,0.907103825136612,83,15,50,2,0.9764705882352941,0.23076923076923078
0.176,0.8469387755102041,0.9764705882352941,0.907103825136612,83,15,50,2,0.9764705882352941,0.23076923076923078
0.177,0.8469387755102041,0.9764705882352941,0.907103825136612,83,15,50,2,0.9764705882352941,0.23076923076923078
0.178,0.8469387755102041,0.9764705882352941,0.907103825136612,83,15,50,2,0.9764705882352941,0.23076923076923078
0.179,0.8556701030927835,0.9764705882352941,0.9120879120879121,83,14,51,2,0.9764705882352941,0.2153846153846154
0.18,0.8556701030927835,0.9764705882352941,0.9120879120879121,83,14,51,2,0.9764705882352941,0.2153846153846154
0.181,0.8556701030927835,0.9764705882352941,0.9120879120879121,83,14,51,2,0.9764705882352941,0.2153846153846154
0.182,0.8556701030927835,0.9764705882352941,0.9120879120879121,83,14,51,2,0.9764705882352941,0.2153846153846154
0.183,0.8645833333333334,0.9764705882352941,0.9171270718232044,83,13,52,2,0.9764705882352941,0.2
0.184,0.8645833333333334,0.9764705882352941,0.9171270718232044,83,13,52,2,0.9764705882352941,0.2
0.185,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.186,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.187,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.188,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.189,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.19,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.191,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.192,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.193,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.194,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.195,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.196,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.197,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.198,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.199,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.2,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.201,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.202,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.203,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.20400000000000001,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.20500000000000002,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.20600000000000002,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.20700000000000002,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.20800000000000002,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.209,0.8829787234042553,0.9764705882352941,0.9273743016759777,83,11,54,2,0.9764705882352941,0.16923076923076924
0.21,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.211,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.212,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.213,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.214,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.215,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.216,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.217,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.218,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.219,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.22,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.221,0.8817204301075269,0.9647058823529412,0.9213483146067416,82,11,54,3,0.9647058823529412,0.16923076923076924
0.222,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.223,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.224,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.225,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.226,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
